Work Type,Summary,Description,Epic Link,Status,Priority,Labels,Story Points,Acceptance Criteria,Definition of Done,Technical Notes,Components,Risk Level
Story,AI Classification - Relevance & Categorization,"Implement the classify AI task. It should take candidate's name, address, and type and determine: a) if relevant to Turkish diaspora (keep/ignore), b) its primary category (e.g., bakery, restaurant).",AI-Powered Classification & Verification,To Do,High,"ai,classification,categorization",13,"- Classification prompt includes few-shot examples with clear Dutch/Turkish patterns
- On test set of 100 manually labeled candidates, classification precision ≥ 90%
- Output successfully validated against JSON schema
- Candidate's category and confidence_score updated in database based on result","- AI classification working with 90%+ precision
- Category assignment functional
- Confidence scoring implemented
- JSON validation operational","This is the first major quality gate. Prompt engineering here is critical.","AI/ML",High
Epic,Frontend Map & List Application,"Build a fast, intuitive, and mobile-friendly web application for end-users to discover Turkish-oriented businesses.",,To Do,High,"frontend,react,map,ui",,,"Frontend application is functional, performant, and user-friendly",,"Frontend",Medium
Story,Core Map View with Leaflet,"Implement the MapView component using Leaflet. It should display map of Netherlands, centered on default location or user's position, with markers for verified locations.",Frontend Map & List Application,To Do,High,"frontend,map,leaflet",8,"- Map loads correctly with OpenStreetMap or similar tile layer
- Markers displayed on map for locations fetched from GET /api/v1/locations endpoint
- Clicking marker displays popup with location's name and category
- Map performance smooth with up to 200 markers","- Map component rendering correctly
- Markers displaying for verified locations
- Popup functionality working
- Performance optimized for 200+ markers","This is the primary visual interface for the app","Frontend",Low
Story,Location List & Filtering Components,"Build the LocationList and LocationCard components. The list should display locations, be sortable by distance and rating, and filterable by category. The card should show all key information.",Frontend Map & List Application,To Do,High,"frontend,components,filtering",8,"- List displays location name, address, category, rating, and status badge
- Users can filter list by selecting one or more categories
- Users can sort list by ""Distance"" or ""Rating""
- List and map synchronized; clicking list item highlights corresponding marker on map","- Location list and card components functional
- Filtering and sorting working
- Map-list synchronization implemented","This provides an alternative, accessible way to browse data","Frontend",Low
Epic,Continuous Monitoring & Data Freshness,"Ensure the data remains accurate and up-to-date through automated monitoring and re-verification processes.",,To Do,Medium,"monitoring,freshness,automation",,,"Monitoring system ensures data remains fresh and accurate",,"Backend, DevOps",Medium
Story,MonitorBot & Freshness Policy Engine,"Implement the monitor_bot.py worker. It should periodically select records where next_check_at is in the past, based on defined Freshness Policy. It then re-triggers verification process for these records.",Continuous Monitoring & Data Freshness,To Do,Medium,"monitoring,bot,automation",13,"- Bot correctly calculates next_check_at for new records based on confidence and status
- Bot processes records in batches (e.g., MONITOR_MAX_PER_RUN=200)
- After run, no record in database has next_check_at older than 90 days
- Changes to location's business_status detected and updated","- MonitorBot operational
- Freshness policy implemented and working
- Automatic re-verification functioning
- Data quality maintained over time","This is the ""heartbeat"" of the application, ensuring long-term data quality","Backend",Medium
Epic,Admin CMS & Human-in-the-Loop,"Provide tools for administrators to manually correct data, add gold records, and manage the system.",,To Do,Medium,"admin,cms,human-in-loop",,,"Admin system allows manual data correction and management",,"Backend",Low
Story,Manual Location Management & Gold Records,"Build admin-only API endpoints and simple UI to allow admins to manually create, edit, and correct location records. Manually added records should be flagged as ""gold"" in training_data table.",Admin CMS & Human-in-the-Loop,To Do,Medium,"admin,backend,cms",8,"- Admin can add new location with all core fields, immediately set to VERIFIED
- Admin can edit any field of existing location
- All manual actions logged for audit purposes
- Manually added/verified records stored as gold records for LearningBot","- Admin CRUD operations functional
- Audit logging implemented
- Gold record system working","This is the ""human-in-the-loop"" mechanism for continuous improvement","Backend",Low
Epic,Observability, Security & Hardening,"Make the system reliable, secure, and production-ready with monitoring, alerts, and compliance checks.",,To Do,High,"security,monitoring,compliance",,,"System is secure, observable, and production-ready",,"DevOps, Backend",High
Story,Comprehensive Metrics & Alerting,"Implement metrics collection system that tracks key KPIs: new candidates per week, conversion rate to VERIFIED, task error rates, API latency. Set up basic alerting for critical failures.",Observability, Security & Hardening,To Do,High,"monitoring,metrics,alerting",8,"- Metrics dashboard displays at least 5 core metrics
- Alert triggered when task failure rate exceeds 10% in 1-hour period
- Alert triggered when Google API returns burst of 429 status codes","- Metrics system operational
- Alerting configured and tested
- KPI tracking in place","You can't manage what you can't measure. Essential for production.","DevOps",Medium
Epic,Pilot Deployment & Roll-out,"Prepare the MVP for its first real-world test, gather feedback, and plan for the next phase.",,To Do,High,"deployment,pilot,production",,,"MVP is successfully deployed and ready for user testing",,"DevOps, Product",High
Story,End-to-End Pilot Deployment,"Deploy entire integrated system (Backend, Frontend, Database, Cron Jobs) to production environment. Execute full, automated cycle from discovery to verification for Rotterdam.",Pilot Deployment & Roll-out,To Do,High,"deployment,production,integration",13,"- Public URL for frontend is live and accessible
- Application has ≥200 VERIFIED locations in Rotterdam with ratings and websites
- All automated bots (Discovery, Verification, Monitor) running on schedule without human intervention
- Application loads in under 2 seconds on mobile 3G connection","- Full system deployed and operational
- 200+ verified locations in production
- Automated pipeline working
- Performance targets met","This is the ""go-live"" story. The success criteria for MVP are met here.","DevOps",High
